source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Debaroti Adhikary,Reliance market value now equals India's top five IT companies combined,"A sharp selloff in Indian IT stocks has reduced the combined market capitalisation of the top five IT firms to nearly match Reliance Industries at around ₹18 lakh crore. AI disruption fears, weak technology spending and macro uncertainty continue to pressure …",https://economictimes.indiatimes.com/markets/stocks/news/reliance-market-value-now-equals-indias-top-five-it-companies-combined/articleshow/132175237.cms,"https://img.etimg.com/thumb/msid-132175243,width-1200,height-630,imgsize-34218,overlay-etmarkets/articleshow.jpg",2026-07-04 05:19:42+00:00,"After a steep correction in Indias much-touted IT stocks, the combined market capitalisation of Indias top five IT companies now nearly equals to that of Mukesh Ambani-led Reliance Industries at near… [+3718 chars]"
"{'id': None, 'name': 'Barchart.com'}",Aditya Raghunath,Wall Street Doubles Down on Wolfspeed Short Positions Over Cash Burn Fears,WOLF is now Wall Street's most shorted stock. Here's why bears keep piling on even after Wolfspeed's big debt overhaul.,https://www.barchart.com/story/news/3185697/wall-street-doubles-down-on-wolfspeed-short-positions-over-cash-burn-fears,https://s.yimg.com/lo/mysterio/api/2F446FA4DD379C295EDA70AF9AE29DD6CEF560364088BE269EF5A18EB9B1D0F7/subgraphmysterio/resizefill_w1200_h647;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Fbarchart_com_477%2F619a505382fbba181d0114a4cb0c4b25,2026-07-08 14:00:02+00:00,"Bull and bear on a tablet_Image by Ice stocker via Shutterstock
Wolfspeed (WOLF) has spent the last year trying to convince investors that its turnaround story is real. Its overhaul included new lea… [+4570 chars]"
"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Tom Lowrey,Pat Conroy to announce defence shake-up aimed at cost blowouts,Defence Industry Minister Pat Conroy is set to appeal to the Labor faithful to get behind AUKUS as he announces a defence shake-up targeting wasteful spending.,https://www.abc.net.au/news/2026-07-01/pat-conroy-to-announce-defence-waste-shake-up/106866558,https://live-production.wcms.abc-cdn.net.au/2dcc3aa558ed8494357d27e3fa7374ee?impolicy=wcms_watermark_news&cropH=3510&cropW=6240&xPos=0&yPos=0&width=862&height=485&imformat=generic,2026-07-01 12:32:01+00:00,"Defence Industry Minister Pat Conroy is set to make an appeal to the Labor faithful to get behind AUKUS, and back Labor as the natural party of defence and national security.
Mr Conroy will also use… [+5568 chars]"
"{'id': None, 'name': 'Cointelegraph'}",Cointelegraph by Ezra Reguerra,Prediction-market operational consolidation could spur M&A wave: Bernstein,"Bernstein says platforms are bringing exchange, clearing and brokerage infrastructure in-house, setting up potential deals while increasing antitrust and regulatory risks.",https://cointelegraph.com/news/prediction-market-consolidation-ma-wave-bernstein,https://s3-images.ctmedia.io/media/article-covers/man-and-blockchain-puzzle2.jpg,2026-06-29 11:21:37+00:00,"Prediction-market operators are bringing trading infrastructure in-house, a rapid shift that could trigger a wave of acquisitions across crypto platforms, sportsbooks, brokerages and standalone excha… [+2825 chars]"
"{'id': None, 'name': 'OilPrice.com'}",Felicity Bradstock,Canada Unveils New Pipeline to Cut Reliance on U.S. Oil Routes,"A new oil pipeline could connect eastern and western Canada as the oil-rich country seeks to become more self-reliant and reduce its energy dependence on the United States. However, not everyone is in support of the project, which is at odds with Canada’s cli…",https://oilprice.com/Energy/Crude-Oil/Canada-Unveils-New-Pipeline-to-Cut-Reliance-on-US-Oil-Routes.html,https://d32r1sh890xpii.cloudfront.net/article/1200x675/2026-07-16_krazsgt5qe.jpg,2026-07-18 19:00:00+00:00,"The end of the U.S.…
Politicians are again targeting Big…
Speculation that OPEC is weakening…
Set us as your preferred Google source
By Felicity Bradstock - Jul 18, 2026, 2:00 PM CDTA new oil pip… [+5421 chars]"
"{'id': None, 'name': 'BusinessLine'}",PTI,"Reliance promoters raise stake by 0.5% through share purchases of ₹8,500-9,000 crore",Regulatory shareholding data showed the promoter and promoter group raised their stake to 50.48% at the end of the June quarter from about 50% three months earlier,https://www.thehindubusinessline.com/markets/reliance-promoters-raise-stake-by-05-through-share-purchases-of-8500-9000-crore/article71233068.ece,https://bl-i.thgim.com/public/incoming/xfjdtd/article71060554.ece/alternates/LANDSCAPE_1200/2025-10-17T142100Z_2080052663_RC22F9A3KLFO_RTRMADP_3_RELIANCE-INDUSTRIES-RESULTS.JPG,2026-07-17 07:18:17+00:00,"The promoter group of Reliance Industries Ltd increased shareholding by nearly 0.5 percentage points during the June quarter through market purchases, reinforcing its long-term commitment to the coun… [+2127 chars]"
"{'id': None, 'name': 'The Atlantic'}",Charlie Warzel,How Elon Musk Became More Powerful Than Ever,"The authors of Muskism break down the beliefs, business strategy, and political influence behind the world’s richest man.",https://www.theatlantic.com/podcasts/2026/07/how-elon-musk-became-more-powerful-ever/687807/,https://cdn.theatlantic.com/thumbor/ic4xjzX9BI9OISbD2ziBR6a6NWg=/0x43:2000x1085/1200x625/media/img/mt/2026/07/GB_Ollie_260703/original.jpg,2026-07-03 17:00:00+00:00,"Subscribe here: Apple Podcasts | Spotify | YouTube Elon Musk isn’t just the world’s richest man—he’s one of the most influential people alive. His companies have transformed industries, his wealth ha… [+43547 chars]"
"{'id': None, 'name': 'Livemint'}",Swati Gandhi,"Mukesh Ambani, Sunil Bharti Mittal among 40 founding members of global commission on AI: Details","Reliance Industries Chairman Mukesh Ambani and Bharti Enterprises Chairman Sunil Bharti Mittal have joined the AI for Good Global Commission, a new international body bringing together over 40 global leaders to promote responsible AI development.",https://www.livemint.com/industry/mukesh-ambani-sunil-bharti-mittal-among-40-founding-members-of-global-commission-on-ai-details-11783063957116.html,https://www.livemint.com/lm-img/img/2026/07/03/1600x900/logo/Mukesh_Ambani_1783064269651_1783064269785_73a0ffd2-a013-49a9-9b45-3b5c764c7417.jpg,2026-07-03 08:08:27+00:00,"Mukesh Ambani, chairman and managing director of Reliance Industries, has joined a newly launched commission on artificial intelligence (AI), along with Bharti Enterprises founder and chairman Sunil … [+3242 chars]"
"{'id': None, 'name': 'CNA'}",Unknown,India approves US$13 billion semiconductor plan,"NEW DELHI: India approved a new semiconductor programme on Wednesday (Jul 15), offering more than US$13 billion in financial assistance to accelerate local chip production, as it seeks to become a global electronics powerhouse.India's Union Cabinet approved t…",https://www.channelnewsasia.com/asia/india-approves-us13-billion-semiconductor-plan-6256081,"https://dam.mediacorp.sg/image/upload/s--KsXv60Ru--/c_crop,h_576,w_1024,x_0,y_87/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2023-11:afp_watermark_14112023,w_0.1/f_auto,q_auto/v1/mediacorp/cna/image/2026/07/15/000_74vd4cq.jpg?itok=JsozW3GW",2026-07-15 11:42:00+00:00,"NEW DELHI: India approved a new semiconductor programme on Wednesday (Jul 15), offering more than US$13 billion in financial assistance to accelerate local chip production, as it seeks to become a gl… [+1510 chars]"
"{'id': None, 'name': 'BusinessLine'}",PTI,Mcap of nine of top-10 most valued firms erodes by Rs 2.74 lakh cr; HDFC Bank takes biggest hit,"Banking stocks emerged as the biggest drag following mixed Q1 FY27 earnings, while a risk-off environment and weakness in the rupee further curtailed buying interest",https://www.thehindubusinessline.com/markets/mcap-of-nine-of-top-10-most-valued-firms-erodes-by-rs-274-lakh-cr-hdfc-bank-takes-biggest-hit/article71268854.ece,https://bl-i.thgim.com/public/incoming/1jrtsw/article71268886.ece/alternates/LANDSCAPE_1200/RBI-eases-lendeGF5EMQ1FB.4.jpg.jpg,2026-07-26 08:01:38+00:00,"The combined market valuation of nine of the top-10 most valued firms eroded by 2.74 lakh crore last week, in tandem with a bearish trend in equities, with HDFC Bank taking the biggest hit.
Last wee… [+2019 chars]"
"{'id': None, 'name': 'Geeky Gadgets'}",Julian Horsey,Anthropic Opus 5 Achieves 42/42 on 2026 Math Olympiad Tasks,"Anthropic’s latest release, Opus 5, has set a new benchmark in artificial intelligence, showcasing advancements in reasoning, professional applications and problem-solving. According to AI Grid, the model achieved a perfect score of 42/42 on the 2026 Internat…",https://www.geeky-gadgets.com/anthropic-opus-5-release/,https://www.geeky-gadgets.com/wp-content/uploads/2026/07/opus-vs-fable.jpg,2026-07-27 12:13:00+00:00,"Anthropic’s latest release, Opus 5, has set a new benchmark in artificial intelligence, showcasing advancements in reasoning, professional applications and problem-solving. According to AI Grid, the … [+6811 chars]"
"{'id': None, 'name': 'Livemint'}",Nehal Chaliawala,Reliance tops estimates as petrochemicals business stands firm in a turbulent first quarter,"Reliance Industries' earnings beat came despite expectations that geopolitical tensions and volatile energy markets would weigh on Reliance’s flagship oil-to-chemicals (O2C) business, which contributes more than half of the company’s consolidated revenue.",https://www.livemint.com/companies/reliance-tops-estimates-as-petrochemicals-business-stands-firm-in-a-turbulent-first-quarter-11784300680729.html,https://www.livemint.com/lm-img/img/2026/07/17/1600x900/logo/2-0-1321406577-RIL-0_1679976786472_1784307412059_1c0d6f7e-22d6-4b5c-88ba-a6d99deae3f5.jpg,2026-07-17 17:00:49+00:00,Mumbai: Reliance Industries Ltd delivered a better-than-expected start to FY27 as a resilient oil refining and petrochemicals business weathered severe disruption in global energy markets triggered b… [+4731 chars]
"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Caolán Magee,Can Gulf countries defend themselves against renewed Iranian attacks?,Expensive interceptor missiles are facing mounting pressure from Iran's cheaply produced drones.,https://www.aljazeera.com/news/2026/7/14/can-gulf-countries-defend-themselves-against-renewed-iranian-attacks,https://www.aljazeera.com/wp-content/uploads/2026/07/2026-03-06T032226Z_1205403066_RC2QYJAIVJWX_RTRMADP_3_IRAN-CRISIS-GULF-BAHRAIN-1783917567.jpg?resize=1920%2C1440,2026-07-14 10:59:02+00:00,"Air defence systems were activated in Bahrain, Kuwait, Oman, Qatar, the United Arab Emirates and Jordan again this week after Iran launched another wave of attacks it said were aimed at United States… [+12335 chars]"
"{'id': None, 'name': 'BusinessLine'}",ANI,India Inc’s import dependence remains stable despite global supply risks: BoB report,"Import dependence remains concentrated in a few sectors, while chemicals, consumer durables, electricals and capital goods have reduced their reliance on imports",https://www.thehindubusinessline.com/economy/india-incs-import-dependence-remains-stable-despite-global-supply-risks-bob-report/article71189219.ece,https://bl-i.thgim.com/public/incoming/eilig8/article71189494.ece/alternates/LANDSCAPE_1200/bl26-Think2-DClG6JG5O6HT.6.jpg.jpg,2026-07-06 12:55:28+00:00,"India Incs import dependence has remained broadly stable despite concerns over global supply disruptions, with import intensity concentrated in only a few sectors rather than across the corporate sec… [+2448 chars]"
"{'id': None, 'name': 'BusinessLine'}",PTI,"Mcap of 4 of top-10 most valued firms jumps ₹92,995 crore; HDFC Bank, Airtel top gainers","The combined market valuation of four of the top-10 most valued firms jumped ₹92,995.48 crore last week, with HDFC Bank and Bharti Airtel emerging as the biggest gainers.",https://www.thehindubusinessline.com/markets/mcap-of-4-of-top-10-most-valued-firms-jumps-92995-crore-hdfc-bank-airtel-top-gainers/article71213442.ece,https://bl-i.thgim.com/public/incoming/vx9ogk/article71213445.ece/alternates/LANDSCAPE_1200/iStock-1255683032.jpg,2026-07-12 07:46:07+00:00,"The combined market valuation of four of the top-10 most valued firms jumped 92,995.48 crore last week, with HDFC Bank and Bharti Airtel emerging as the biggest gainers.
Last week, the BSE benchmark… [+2141 chars]"
"{'id': None, 'name': 'BusinessLine'}",Ravi  Pokharna,Why currency stability is crucial,"Industry hit. Given exporters’ reliance on imported intermediate goods, a weak rupee is not a competitive advantage",https://www.thehindubusinessline.com/opinion/why-currency-stability-is-crucial/article71202760.ece,https://bl-i.thgim.com/public/incoming/wyhbe1/article71202767.ece/alternates/LANDSCAPE_1200/BIZ-LD-RUPEE_GPGFIG7BMOE.3.jpg.jpg,2026-07-09 15:26:28+00:00,"The rupees breach of the psychological 96-per-US Dollar mark has triggered familiar anxieties. Yet, this episode is less a reflection of weak domestic fundamentals and more about geopolitical tension… [+7404 chars]"
"{'id': None, 'name': 'gcaptain.com'}",Reuters,EU Softens Carbon Market to Ease Pressure on Industry,"The European Commission proposed an overhaul of the EU's Emissions Trading System on Friday, allowing industries to emit CO2 longer while offering more financial support to invest in clean technologies in Europe.",https://gcaptain.com/eu-softens-carbon-market-to-ease-pressure-on-industry/,https://gcaptain.com/wp-content/uploads/2025/02/2025-02-21T115503Z_1092534947_RC29NCAJFMQS_RTRMADP_3_USA-TRUMP-TARIFFS-TAX.jpg,2026-07-17 15:08:57+00:00,"BRUSSELS, July 17 (Reuters) – The European Commission proposed an overhaul of the EU’s Emissions Trading System on Friday, allowing industries to emit CO2 longer while offering more financial support… [+4257 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Akash Podishetti,"Stocks in news: RIL, Trent, Titan, Cochin Shipyard, Nestle, Indian Oil","Markets extended their winning streak on Monday, supported by encouraging quarterly business updates. Reliance Industries received an administrative warning from Sebi regarding insider trading allegations. Trent and Titan reported strong revenue growth in the…",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-ril-trent-titan-cochin-shipyard-nestle-indian-oil/articleshow/132228125.cms,"https://img.etimg.com/thumb/msid-132228124,width-1200,height-630,imgsize-605584,overlay-etmarkets/articleshow.jpg",2026-07-07 01:04:59+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Nikhil Agarwal,Investors are watching Jio but Mukesh Ambani-led RIL’s Q1 surprise may come from refining,"Reliance Industries' upcoming first-quarter earnings may depend on refining gains.  Jio's steady expansion is expected to provide a stable growth engine for the company.  Refining margins surged dramatically, raising expectations for the oil-to-chemicals busi…",https://economictimes.indiatimes.com/markets/stocks/earnings/investors-are-watching-jio-but-mukesh-ambani-led-rils-q1-surprise-may-come-from-refining/articleshow/132452026.cms,"https://img.etimg.com/thumb/msid-132452021,width-1200,height-630,imgsize-2549215,overlay-etmarkets/articleshow.jpg",2026-07-17 03:52:09+00:00,"Billionaire Mukesh Ambani-owned Reliance Industries (RIL) Q1 earnings, which are to be announced today after market hours, may hinge less on Jios steady expansion and more on whether its refining bus… [+6366 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Debaroti Adhikary,Market wrap: Top gainers and losers on Nifty and Sensex today,"Indian benchmark indices extended losses on Tuesday, with the Sensex falling 238 points and the Nifty closing below 24,200. While HDFC Bank, Reliance Industries and SBI weighed on the benchmarks, broader markets outperformed as the Nifty Midcap 100 and Smallc…",https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-top-gainers-and-losers-on-nifty-and-sensex-today/articleshow/132534866.cms,"https://img.etimg.com/thumb/msid-132535007,width-1200,height-630,imgsize-168352,overlay-etmarkets/articleshow.jpg",2026-07-21 11:24:15+00:00,"The Indian stock market extended losses on Tuesday, with Sensex and Nifty dropping up to 0.3% despite a fall in oil prices following reports of mediation efforts between the US and Iran.Sensex droppe… [+1323 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Akash Podishetti,"Stocks in news: ICICI Bank, YES Bank, Kotak Bank, RIL, Axis Bank","Markets advanced Friday, gaining over one percent despite weak global cues. Analysts await quarterly results from Reliance Industries, HDFC Bank, and ICICI Bank. ICICI Bank reported a 16% year-on-year net profit increase for the June quarter. YES Bank and PNB…",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-icici-bank-yes-bank-kotak-bank-ril-axis-bank/articleshow/132497296.cms,"https://img.etimg.com/thumb/msid-132497286,width-1200,height-630,imgsize-605584,overlay-etmarkets/articleshow.jpg",2026-07-20 00:41:00+00:00,"Markets staged a strong advance on Friday and gained over a percent despite weak global cues. Looking ahead, analysts will react to the quarterly results of heavyweights Reliance Industries, HDFC Ban… [+2618 chars]"
"{'id': None, 'name': 'New York Post'}",Reuters,IBM shares plunge 25% as AI spending boom hammers business: ‘Ugly moment for software stocks’,"The company has been trying to reduce its reliance on the cyclical mainframe business by focusing on its software unit including its high-margin Red Hat business, which helps firms run applications across different cloud providers.",https://nypost.com/2026/07/14/business/ibm-shares-plunge-25-as-ai-spending-boom-hammers-business/,https://nypost.com/wp-content/uploads/sites/2/2026/07/newspress-collage-qu0m0wid0-1784042888387.jpg?quality=75&strip=all&1784028495&w=1200,2026-07-14 15:32:17+00:00,"IBM said it had “faltered” in keeping pace with a shift in corporate spending from software to data-center infrastructure and forecast second-quarter earnings below estimates, the clearest sign yet o… [+3921 chars]"
"{'id': None, 'name': 'Naturalnews.com'}",Sterling Ashworth,U.S. Department of Energy Awards $75M to Five Projects for Critical Mineral Recovery from Coal Feedstocks,"The U.S. Department of Energy’s (DOE) Office of Critical Minerals and Energy Innovation has awarded $75 million to five projects that will use coal and coal-based feedstocks to produce rare earth elements and other critical materials, officials announced July…",https://www.naturalnews.com/2026-07-05-us-department-energy-products-critical-mineral-recovery.html,https://www.naturalnews.com/wp-content/uploads/sites/91/2026/07/critical-minerals-rare-earth-elements-coal-feedstocks-2517-original.jpg,2026-07-05 06:00:00+00:00,The U.S. Department of Energys (DOE) Office of Critical Minerals and Energy Innovation has awarded $75 million to five projects that will use coal and coal-based feedstocks to produce rare earth elem… [+5655 chars]
"{'id': None, 'name': 'gcaptain.com'}",Malte Humpert,EU Paid Nearly €6 Billion for Russian Arctic LNG in First Half of 2026 Despite Phase-Out Plan,"European Union countries paid an estimated 5.96 billion euros ($6.82 billion) for liquefied natural gas from Russia’s Yamal LNG project during the first six months of 2026, underscoring the bloc’s continued reliance on Arctic gas despite an impending ban on R…",https://gcaptain.com/eu-paid-nearly-e6-billion-for-russian-arctic-lng-in-first-half-of-2026-despite-phase-out-plan/,https://gcaptain.com/wp-content/uploads/2022/02/2022-02-25T151923Z_629387291_RC2YQS95US6L_RTRMADP_3_UKRAINE-CRISIS-LNG-FRANCE-scaled.jpg,2026-07-13 10:08:42+00:00,"European Union countries paid an estimated 5.96 billion euros ($6.82 billion) for liquefied natural gas from Russias Yamal LNG project during the first six months of 2026, underscoring the blocs cont… [+3238 chars]"
"{'id': None, 'name': 'Crypto Briefing'}",Estefano Gomez,Microsoft CEO warns against sole reliance on proprietary AI models,"Nadella's warning may prompt companies to diversify AI strategies, potentially reshaping industry dynamics and affecting market valuations.
The post Microsoft CEO warns against sole reliance on proprietary AI models appeared first on Crypto Briefing.",https://cryptobriefing.com/microsoft-ceo-warns-against-sole-reliance-on-proprietary-ai-models/,https://static.cryptobriefing.com/wp-content/uploads/2026/07/13170154/1200x800-microsoft-ceo-satya-nadella-receives-padma-bhushan-3-800x420.jpeg,2026-07-13 21:01:54+00:00,"In a significant development, Microsoft CEO Satya Nadella has issued a stern warning to enterprises about the potential dangers of relying solely on proprietary AI models, such as those developed by … [+1506 chars]"
